WellId,DateTimeStamp,WHP,CHP
404,2022-10-01T00:00:45,31.479166,32.064583
401,2022-10-01T00:03:17,304.27084,77.70208
400,2022-10-01T00:05:40,289.05417,76.10625
402,2022-10-01T00:02:53,315.87918,88.145836
401,2022-10-01T00:13:47,316.75833,76.614586
405,2022-10-01T00:10:03,153.1125,83.4625
404,2022-10-01T00:11:15,34.2875,32.654167
401,2022-10-01T00:24:17,293.1875,78
400,2022-10-01T00:16:10,308.90833,78.65417
402,2022-10-01T00:13:23,309.89584,87.43958
401,2022-10-01T00:34:47,293.25208,79.135414
405,2022-10-01T00:20:33,148.66458,84.68958
404,2022-10-01T00:21:45,32.495834,32.364582
401,2022-10-01T00:45:17,304.23126,78.64167
400,2022-10-01T00:26:40,318.66666,0
402,2022-10-01T00:23:53,302.2875,88.597916
401,2022-10-01T00:55:47,307.75418,79.34583
405,2022-10-01T00:31:03,155.975,86.072914
404,2022-10-01T00:32:15,31.502083,31.983334
401,2022-10-01T01:06:17,305.79166,79.55625
400,2022-10-01T00:37:10,332.4896,79.51667
402,2022-10-01T00:34:23,293.3229,89.28958
401,2022-10-01T01:16:47,309.8625,77.95
405,2022-10-01T00:41:33,0,85.47083
404,2022-10-01T00:42:45,31.525,31.852083
401,2022-10-01T01:27:17,314.7125,77.10625
400,2022-10-01T00:47:40,329.65,79.82708
402,2022-10-01T00:44:53,308.49792,88.88958
401,2022-10-01T01:37:47,311.65,77.24167
405,2022-10-01T00:52:03,150.88959,86.09583
404,2022-10-01T00:53:15,32.947918,31.7625
401,2022-10-01T01:48:17,292.6354,78.604164
400,2022-10-01T00:58:10,307.3229,79.10833
402,2022-10-01T00:55:23,309.425,89.370834
401,2022-10-01T01:58:47,295.15,78.379166
405,2022-10-01T01:02:33,153.75,86.10208
404,2022-10-01T01:03:45,37.677082,31.979166
401,2022-10-01T02:09:17,304.08957,78.62292
400,2022-10-01T01:08:40,290.0625,77.42292
402,2022-10-01T01:05:53,308.6104,90.02917
401,2022-10-01T02:19:47,308.71457,77.925
405,2022-10-01T01:13:03,145.84375,0
404,2022-10-01T01:14:15,32.847916,32.602085
406,2022-10-01T00:06:40,337.15207,94.00208
403,2022-10-01T00:02:01,60.56875,56.575
400,2022-10-01T01:19:10,273.18542,76.379166
402,2022-10-01T01:16:23,319.1354,88.72083
407,2022-10-01T00:08:16,337.6104,106.92083
403,2022-10-01T00:12:31,0,56.166668
405,2022-10-01T01:23:33,168.025,84.0375
404,2022-10-01T01:24:45,32.320835,33.689583
406,2022-10-01T00:17:10,334.64792,94.683334
403,2022-10-01T00:23:01,60.333332,56.727085
400,2022-10-01T01:29:40,264.3896,75.77292
402,2022-10-01T01:26:53,324.08542,0
407,2022-10-01T00:18:46,323.80832,107.73542
403,2022-10-01T00:33:31,60.491665,56.814583
405,2022-10-01T01:34:03,152.32083,83.725
404,2022-10-01T01:35:15,35.820835,34.002083
406,2022-10-01T00:27:40,313.05,96.03958
403,2022-10-01T00:44:01,58.814583,56.220833
400,2022-10-01T01:40:10,260.34375,75.964584
402,2022-10-01T01:37:23,318.0146,87.8375
407,2022-10-01T00:29:16,310.59583,108.40625
403,2022-10-01T00:54:31,60.558334,56.06875
405,2022-10-01T01:44:33,147.76666,85.416664
404,2022-10-01T01:45:45,32.058334,32.833332
406,2022-10-01T00:38:10,311.99374,96.06042
403,2022-10-01T01:05:01,60.004166,56.758335
400,2022-10-01T01:50:40,268.975,75.88125
402,2022-10-01T01:47:53,302.1146,89.25625
407,2022-10-01T00:39:46,314.10626,0
403,2022-10-01T01:15:31,60.514584,56.70625
405,2022-10-01T01:55:03,148.41875,85.458336
404,2022-10-01T01:56:15,31.039583,32.577084
406,2022-10-01T00:48:40,329.28125,96.59375
403,2022-10-01T01:26:01,62.095833,56.0375
400,2022-10-01T02:01:10,268.16458,75.3875
402,2022-10-01T01:58:23,293.58542,88.645836
407,2022-10-01T00:50:16,328.2979,109.10625
403,2022-10-01T01:36:31,60.539585,0
405,2022-10-01T02:05:33,143.17708,85.44375
404,2022-10-01T02:06:45,34.31875,32.645832
406,2022-10-01T00:59:10,331.55624,96.04583
403,2022-10-01T01:47:01,60.147915,55.997917
402,2022-10-01T02:08:53,309.16458,89.32917
407,2022-10-01T01:00:46,335.93332,108.84167
403,2022-10-01T01:57:31,60.770832,56.1
404,2022-10-01T02:17:15,30.429167,31.9375
406,2022-10-01T01:09:40,325.9854,96.089584
403,2022-10-01T02:08:01,59.929165,56.01875
402,2022-10-01T02:19:23,316.98126,88.63958
407,2022-10-01T01:11:16,326.70624,108.416664
403,2022-10-01T02:18:31,59.145832,55.95625
404,2022-10-01T02:27:45,31.664583,31.941668
406,2022-10-01T01:20:10,337.525,94.625
403,2022-10-01T02:29:01,57.864582,55.2625
402,2022-10-01T02:29:53,326.24582,87.93958
407,2022-10-01T01:21:46,338.12918,107.027084
404,2022-10-01T02:38:15,30.375,32.004166
406,2022-10-01T01:30:40,341.1771,93.7125
402,2022-10-01T02:40:23,316.44583,87.27917
407,2022-10-01T01:32:16,343.33957,0
404,2022-10-01T02:48:45,32.2,0
406,2022-10-01T01:41:10,327.27084,95.370834
402,2022-10-01T02:50:53,309.30417,87.25
407,2022-10-01T01:42:46,318.6,96.42083
404,2022-10-01T02:59:15,33.552082,31.222918
